#complex,groundtruth,simcomplex,simground,z3res,verificationtime
3*(x&~y)-(x^y)+~x-~(x&y),x-y,-1*~(x|~y)+1*(x&~y),-1*~(x|~y)+1*(x&~y),True,0.009627819061279297
(x^y)+(~x|y)-(~x),x|y,1*(x|y),1*(x|y),True,0.009350299835205078
-1*(~(x^y))+2*x+y-1*(x^y)+(~(x&y))+(~(x&~x))+(~(x&~y))-4*(~(x|y))-4*(~(x|~y))-4*(x&~y)-4*(x&y),-~x-~y,-2*~(x|y)-1*~(x|~y)-1*(x&~y),-2*~(x|y)-1*~(x|~y)-1*(x&~y),True,0.009760379791259766
y-1*(~(x&~x))-1*(~(x&~y))-1*(x|y)-2*x+2*(~(x|~y))+2*(x&~y)+2*(x&y),-2*(x|~y),-2*(x|~y),-2*(x|~y),True,0.009406566619873047
(~(x&~y))+5*(~(x^y))-1*~x+3*(x|y)-1*x+(~(x&y))+(x^y)+~y-5*(~(x|y))-3*(~(x|~y))-3*(x&~y)-6*(x&y),2*(~(x&~x)),-2,-2,True,0.009199380874633789
2*y-1*(x|~y)-1*(x|y)+2*~y+~x+(x^y)-1*(~(x&~y))-1*(~(x&~x))-4*(~(x|y))-1*(~(x|~y))-2*(x&y),-4*(~(x^y)),-4*~(x^y),-4*~(x^y),True,0.009455442428588867
(~(x^y))+2*~y+(~(x&y))-1*(x|y)+(~(x&~x))-1*(~(x&~y))-1*x+y-3*(~(x|y))-2*(x&~y),1*~x,1*~x,1*~x,True,0.009307622909545898
y+(~(x&~x))-1*(~(x&~y))-2*(x|~y)-3*(x|y)+2*(~(x|y))+1*(~(x|~y))+4*(x&~y)+5*(x&y),-~x+1*(~(x^y)),-1*~(x|~y)+1*(x&y),-1*~(x|~y)+1*(x&y),True,0.009527444839477539
2*~y-2*(~(x^y))+1*(~(x|y))-1*(x&~y)+3*(x&y),1*(x|~y),1*(x|~y),1*(x|~y),True,0.009385347366333008
-(x&y)-(x|y)+(x|~y)-(~x|y),-2*y,-2*y,-2*y,True,0.009330987930297852
~y-1*y+~x-2*(~(x&y))+(~(x^y))+(~(x&~x))+(x|y)-1*(~(x|y))-1*(x&y),1*(x|~y),1*(x|~y),1*(x|~y),True,0.009414911270141602
-1*(x^y)+~y-1*~x-1*y-1*(x|y)+(x|~y)+(~(x&~x))-3*(~(x|y))+2*(~(x|~y))-2*(x&~y),-(~(x&y)),-1*~(x&y),-1*~(x&y),True,0.00930023193359375
-1*(~(x^y))+2*~y-2*(x|y)-1*y+(~(x&y))-3*(~(x|y))+1*(~(x|~y))-1*(x&~y)+3*(x&y),-(~(x&~y)),-1*~(x&~y),-1*~(x&~y),True,0.009222745895385742
y-1*(x^y)-1*x-2*(x|y)+5*(~(x&~x))+(~(x&y))+(x|~y)+4*(~(x^y))+~x-9*(~(x|y))-5*(~(x|~y))-8*(x&y),3*~y,3*~y,3*~y,True,0.009258747100830078
-1*(x^y)-1*(~(x&~y))+2*(~(x^y))-1*(x|y)+(x|~y)+(~(x&y))+2*~y+(~(x&~x))-6*(~(x|y))-3*(x&~y)-3*(x&y),-y,-1*y,-1*y,True,0.009174823760986328
-1*(~(x^y))-2*~y+x+y+(~(x&y))-1*(x|y)+(x^y)+2*~x-1*(x|~y)-5*(~(x|~y)),-(~(x&~x)),1,1,True,0.00902867317199707
-1*y-1*~y+(x|~y)+(~(x^y))-1*(~(x&~x))+1*(~(x|y))+3*(~(x|~y))+1*(x&~y)-1*(x&y),-x+1*(~(x&y)),1*~(x|y)+1*~(x|~y)-1*(x&y),1*~(x|y)+1*~(x|~y)-1*(x&y),True,0.00962519645690918
-2*(~(x&~x))-2*(~(x&y))-1*(x^y)-1*(~(x&~y))-1*(~(x^y))-1*~x-1*y+(x|~y)+2*(x|y)+4*(~(x|y))+6*(~(x|~y))+2*(x&y),-2*~y,-2*~y,-2*~y,True,0.009186029434204102
2*(x^y)-1*~x+~y+(~(x&~x))+2*(~(x&~y))-1*(x|~y)-2*x+(x|y)-1*(~(x|y))-5*(~(x|~y))-2*(x&~y),1*(~(x^y)),1*~(x^y),1*~(x^y),True,0.00925898551940918
(~(x&~y))+(~(x^y))-2*x+(~(x&y))-1*(x^y)+~y+(x|~y)+2*y-8*(~(x|y))-6*(~(x|~y))-1*(x&~y)-4*(x&y),-(~(x&~x))-2*~x,-3*~(x|y)-3*~(x|~y)-1*(x&~y)-1*(x&y),-3*~(x|y)-3*~(x|~y)-1*(x&~y)-1*(x&y),True,0.009812116622924805
-1*(~(x&~y))+2*(x^y)-1*~x+3*~y-1*(x|~y)-2*y-1*(~(x&~x))+(~(x^y))-1*(~(x|y))+2*(~(x|~y))-3*(x&~y)+5*(x&y),1*x-(~(x&y)),-1*~(x|y)-1*~(x|~y)+1*(x&y),-1*~(x|y)-1*~(x|~y)+1*(x&y),True,0.009548425674438477
-1*(~(x&~y))+(~(x^y))-1*(~(x&y))-2*(x|~y)+(~(x&~x))+x-1*~x+y+5*(~(x|y))-1*(~(x|~y))+1*(x&~y)-3*(x&y),-2*(x|y)+2*~y,2*~(x|y)-2*~(x|~y)-2*(x&y),2*~(x|y)-2*~(x|~y)-2*(x&y),True,0.00969243049621582
-1*(~(x&~y))-5*(x|y)+(x^y)+(x|~y)-1*(~(x^y))+~y+y+1*(~(x|y))+5*(~(x|~y))+3*(x&~y)+5*(x&y),1*(~(x&y)),1*~(x&y),1*~(x&y),True,0.009312629699707031
-1*(x^y)+2*(~(x^y))-2*~y+~x-1*(~(x&~x))-1*(~(x&y))+x+1*(~(x|y))+1*(~(x|~y))+5*(x&~y)-3*(x&y),-2*y+1*(x|y),-1*~(x|~y)+1*(x&~y)-1*(x&y),-1*~(x|~y)+1*(x&~y)-1*(x&y),True,0.009705066680908203
-1*(~(x&y))-1*(x|~y)+~y-1*(~(x&~x))-1*(x^y)-4*(x|y)-1*~x-1*(~(x&~y))+5*(~(x|y))+9*(~(x|~y))+8*(x&~y)+9*(x&y),1*x+1*(~(x^y)),1*~(x|y)+1*(x&~y)+2*(x&y),1*~(x|y)+1*(x&~y)+2*(x&y),True,0.009614944458007812
-1*(~(x&~x))-1*(x|~y)+2*y+(~(x&y))+1*(~(x|y))-1*(~(x|~y))+2*(x&~y),1*(x^y),1*(x^y),1*(x^y),True,0.009233236312866211
-1*~x-1*(x|y)-1*(~(x&~x))-1*(~(x&~y))+x-2*(x|~y)+3*(~(x|y))+3*(~(x|~y))+2*(x&~y)+3*(x&y),-(~(x^y))-(~(x&y)),-2*~(x|y)-1*~(x|~y)-1*(x&~y)-1*(x&y),-2*~(x|y)-1*~(x|~y)-1*(x&~y)-1*(x&y),True,0.009830713272094727
-1*(x|y)-2*x-1*(~(x&~x))-1*y-3*~x+(x^y)-1*(~(x^y))+~y+2*(~(x&y))+3*(~(x|~y))-2*(x&~y)+4*(x&y),-2*(x|~y),-2*(x|~y),-2*(x|~y),True,0.00928950309753418
x-1*(x^y)+(~(x&y))-1*(~(x^y))-1*(x|y)+(x|~y)-3*(~(x|~y))-4*(x&y),-5*y+1*(~(x&~x)),1*~(x|y)-4*~(x|~y)+1*(x&~y)-4*(x&y),1*~(x|y)-4*~(x|~y)+1*(x&~y)-4*(x&y),True,0.009821653366088867
~y-1*(x|~y)+(x|y)+(~(x&y))+(~(x&~y))+5*~x-7*(~(x|y))-10*(~(x|~y))-4*(x&~y)-5*(x&y),-2*y-2*x,-2*~(x|~y)-2*(x&~y)-4*(x&y),-2*~(x|~y)-2*(x&~y)-4*(x&y),True,0.00971674919128418
(~(x^y))+~x-1*y-1*x-1*(~(x|y))+1*(~(x|~y))+2*(x&~y)+2*(x&y),1*(~(x&~x)),-1,-1,True,0.009090185165405273
2*y-1*(x^y)-1*(~(x&y))-2*x-2*(~(x&~x))+(x|~y)+3*(~(x|y))+4*(~(x|~y))+4*(x&~y)+1*(x&y),-~y+2*~x,1*~(x|y)+2*~(x|~y)-1*(x&~y),1*~(x|y)+2*~(x|~y)-1*(x&~y),True,0.00977015495300293
~x-1*y+(x|y)+x-1*(~(x^y))-1*(~(x&~x))-2*(x&~y),-(x|~y),-1*(x|~y),-1*(x|~y),True,0.009332895278930664
(~(x^y))+(x|~y)+2*(~(x&y))-1*x-1*(x|y)-1*(~(x&~y))-1*y+4*(~(x|~y))+1*(x&~y)+4*(x&y),1*~x+2*(~(x&~x)),3*~(x|y)+3*~(x|~y)+2*(x&~y)+2*(x&y),3*~(x|y)+3*~(x|~y)+2*(x&~y)+2*(x&y),True,0.009753227233886719
-1*(~(x&y))+(x|y)+(x^y)-1*~y-2*x-4*(~(x&~x))+7*(~(x|y))+3*(~(x|~y))+7*(x&~y)+6*(x&y),1*(x|~y),1*(x|~y),1*(x|~y),True,0.009237527847290039
-1*y+(~(x&~x))-1*x-1*(~(x^y))+(x|~y)-2*(x&~y)+2*(x&y),-(x^y)+1*(~(x&~y)),1*~(x|y)-1*(x&~y)+1*(x&y),1*~(x|y)-1*(x&~y)+1*(x&y),True,0.00955820083618164
-1*(x|y)+(~(x&~y))+2*y-2*~y-1*~x-1*(~(x&~x))+(~(x^y))+x+2*(~(x|y))-1*(~(x|~y))+3*(x&~y)-2*(x&y),-(~(x&y))+1*(x|~y),-1*~(x|~y)+1*(x&y),-1*~(x|~y)+1*(x&y),True,0.009558677673339844
2*y+~y+(x^y)-1*(~(x&~x))-1*~x+(x|~y)+(~(x&y))+(x|y)-2*(~(x|y))-3*(~(x|~y))-4*(x&~y)-4*(x&y),-(~(x^y)),-1*~(x^y),-1*~(x^y),True,0.009339332580566406
-1*(~(x&~x))+(x^y)-2*(~(x&~y))-1*(~(x&y))+~x+(x|y)+1*(~(x|y))+1*(~(x|~y))-3*(x&~y)-1*(x&y),-2*(x|~y)-x,-2*~(x|y)-3*(x&~y)-3*(x&y),-2*~(x|y)-3*(x&~y)-3*(x&y),True,0.009734153747558594
5*~y+(~(x^y))-1*y+2*(x|y)+5*~x-11*(~(x|y))-8*(~(x|~y))-14*(x&~y)-7*(x&y),-5*x-2*(x^y),-2*~(x|~y)-7*(x&~y)-5*(x&y),-2*~(x|~y)-7*(x&~y)-5*(x&y),True,0.009707450866699219
~x-5*(~(x&~x))+(~(x^y))-4*(x|y)+(x|~y)-1*(x^y)-1*(~(x&~y))-2*x+3*(~(x|y))+7*(~(x|~y))+11*(x&~y)+7*(x&y),-3*y,-3*y,-3*y,True,0.00916600227355957
(~(x&~x))-2*~x-3*(~(x&y))-1*(~(x&~y))-1*~y+(x^y)-1*x-1*(x|y)+7*(~(x|y))+5*(~(x|~y))+5*(x&~y)+3*(x&y),1*(x|~y),1*(x|~y),1*(x|~y),True,0.009371519088745117
-1*(~(x&~y))+2*x+3*(~(x&~x))+2*y+~x+(~(x^y))-1*(x|y)-2*(x|~y)-2*(~(x|y))-5*(~(x|~y))-3*(x&~y)-4*(x&y),-(x^y),-1*(x^y),-1*(x^y),True,0.00932931900024414
5*y+x+(x|y)+~x-1*~y+(~(x^y))+(~(x&y))-3*(~(x|y))-10*(~(x|~y))-3*(x&~y)-9*(x&y),-(~(x&~y))-(x^y),-1*~(x|y)-2*~(x|~y)-1*(x&~y)-1*(x&y),-1*~(x|y)-2*~(x|~y)-1*(x&~y)-1*(x&y),True,0.00977635383605957
~y+5*(x|~y)-1*x-1*(~(x&~x))-1*(x^y)-1*(~(x&~y))-1*(~(x^y))-3*(~(x|y))+3*(~(x|~y))-4*(x&~y)-1*(x&y),1*y-(x|y),-1*(x&~y),-1*(x&~y),True,0.009190082550048828
-1*(x|y)+(~(x^y))-1*~x-1*(~(x&y))-1*(~(x&~x))-1*~y+(x^y)+y+2*(x&~y)-3*(x&y),-2*(~(x&~y))-(x|~y),-3*~(x|y)-2*~(x|~y)-1*(x&~y)-3*(x&y),-3*~(x|y)-2*~(x|~y)-1*(x&~y)-3*(x&y),True,0.009878396987915039
(~(x^y))+~x+y-1*(~(x&~y))+~y-1*(~(x&y))+(x^y)-1*(x|y)-1*(x|~y)+1*(~(x|y))+1*(~(x|~y))+2*(x&~y)+2*(x&y),1*(~(x&~x)),-1,-1,True,0.00901031494140625
-1*(x|y)+(~(x&~y))+~y+~x+(~(x&~x))-1*(~(x^y))+x-1*(x^y)+(~(x&y))-3*(~(x|y))-2*(~(x|~y))-1*(x&~y),1*(x|~y),1*(x|~y),1*(x|~y),True,0.009267330169677734
-1*~x+(~(x&~x))+~y-1*(x|~y)+2*(x|y)-1*x-2*(~(x^y))-2*(~(x&~y))-1*(~(x&y))+5*(~(x|y))-2*(x&~y)+3*(x&y),-(x^y),-1*(x^y),-1*(x^y),True,0.009294748306274414
(x|y)-1*~x-1*(~(x&~x))+(x^y)+4*(~(x|y))+2*(~(x|~y))-1*(x&y),-x+2*(~(x&y)),2*~(x|y)+2*~(x|~y)+1*(x&~y)-1*(x&y),2*~(x|y)+2*~(x|~y)+1*(x&~y)-1*(x&y),True,0.00990748405456543
-1*(~(x&y))+(x|y)-1*(x^y)-1*x+2*~x-1*(~(x&~y))-1*(~(x^y))-1*(x|~y)+3*(~(x|y))+1*(~(x|~y))+4*(x&~y)+4*(x&y),1*y+1*~y,-1,-1,True,0.009138822555541992
-1*y+~y+(x|y)+2*(~(x&~y))-3*(x|~y)+(~(x&y))-2*~x-1*(~(x|~y))+1*(x&~y)+1*(x&y),-(~(x^y))+1*x,-1*~(x|y)+1*(x&~y),-1*~(x|y)+1*(x&~y),True,0.009476184844970703
(~(x&y))+y+2*(~(x&~x))+x-1*(~(x&~y))+2*(~(x^y))-4*(~(x|y))-4*(~(x|~y))-5*(x&~y)-5*(x&y),-(x^y),-1*(x^y),-1*(x^y),True,0.009279251098632812
(~(x&~y))+5*(~(x^y))-1*~x+3*(x|y)-1*x+(~(x&y))+(x^y)+~y-5*(~(x|y))-3*(~(x|~y))-3*(x&~y)-6*(x&y),2*(~(x&~x)),-2,-2,True,0.009083271026611328
-3*(~(x&~y))+(~(x^y))+(~(x&~x))-1*y+1*(~(x|y))+4*(~(x|~y))-2*(x&~y)+1*(x&y),1*~x-(x|~y),1*~(x|~y)-1*(x&~y)-1*(x&y),1*~(x|~y)-1*(x&~y)-1*(x&y),True,0.009692668914794922
-1*y+(~(x^y))-1*x-4*(~(x|y))-2*(x&~y)-1*(x&y),-(~(x&y))-2*(x|~y),-3*~(x|y)-1*~(x|~y)-3*(x&~y)-2*(x&y),-3*~(x|y)-1*~(x|~y)-3*(x&~y)-2*(x&y),True,0.009914159774780273
y+(x|~y)-1*(~(x&~x))-1*(~(x^y))-4*x-1*(x|y)-1*(~(x&~y))-1*(~(x&y))+4*(~(x|y))+4*(~(x|~y))+8*(x&~y)+6*(x&y),1*~y+1*(x^y),1*~(x|y)+1*~(x|~y)+2*(x&~y),1*~(x|y)+1*~(x|~y)+2*(x&~y),True,0.009775400161743164
(~(x&~x))-1*y+(x|y)-3*~x+2*(~(x^y))+~y-1*(~(x&y))+2*(~(x|y))+4*(~(x|~y))-1*(x&~y)-1*(x&y),1*(x|~y)+1*(~(x&~y)),2*~(x|y)+1*~(x|~y)+1*(x&~y)+2*(x&y),2*~(x|y)+1*~(x|~y)+1*(x&~y)+2*(x&y),True,0.009921789169311523
-3*(~(x^y))+~y-1*(x|~y)+~x-1*(x|y)+(x^y)+(~(x&~y))-1*(~(x&~x))+5*(~(x|y))+2*(~(x|~y))+4*(x&~y)+5*(x&y),3*(~(x&y)),3*~(x&y),3*~(x&y),True,0.00932765007019043
(x|~y)+~x+x+(~(x&~y))-1*(x|y)+4*~y+(~(x^y))+(~(x&y))-1*y-8*(~(x|y))-5*(x&~y)-1*(x&y),1*(~(x&~x)),-1,-1,True,0.009198188781738281
(~(x&y))-1*(x|y)-1*(~(x&~y))-2*(~(x&~x))-1*x+3*(~(x|y))+2*(~(x|~y))+3*(x&~y)+5*(x&y),1*(~(x^y))-y,1*~(x|y)-1*~(x|~y),1*~(x|y)-1*~(x|~y),True,0.009696722030639648
-1*(x^y)+(x|~y)+(~(x&y))+~x+x+(~(x^y))-2*(~(x&~x))+~y-2*(~(x|y))+4*(~(x|~y))+1*(x&~y)+2*(x&y),1*(~(x&~y))+2*(x|y),1*~(x|y)+3*~(x|~y)+2*(x&~y)+3*(x&y),1*~(x|y)+3*~(x|~y)+2*(x&~y)+3*(x&y),True,0.010159969329833984
(x|~y)+2*y+4*x+(~(x&~y))+(~(x^y))+2*(~(x&~x))-5*(~(x|y))-6*(~(x|~y))-8*(x&~y)-12*(x&y),-(x|y),-1*(x|y),-1*(x|y),True,0.009569883346557617
~y-1*(x|y)+(~(x&~y))-1*(~(x&~x))+(x^y)-1*y-2*(~(x|y))+1*(~(x|~y))-1*(x&~y)+1*(x&y),-(x|~y),-1*(x|~y),-1*(x|~y),True,0.009607553482055664
-1*(x|y)+(~(x^y))-1*~x-1*(~(x&y))-1*(~(x&~x))-1*~y+(x^y)+y+2*(x&~y)-3*(x&y),-2*(~(x&~y))-(x|~y),-3*~(x|y)-2*~(x|~y)-1*(x&~y)-3*(x&y),-3*~(x|y)-2*~(x|~y)-1*(x&~y)-3*(x&y),True,0.01006007194519043
-1*(~(x&~x))+(~(x&~y))-1*(x^y)-1*y-1*~x+x+2*~y-1*(x|y)+4*(~(x|~y))+1*(x&~y)+2*(x&y),1*(x|~y),1*(x|~y),1*(x|~y),True,0.009528636932373047
(~(x^y))+~x-1*~y+(~(x&~y))-1*(x|y)+(~(x&~x))+2*y-2*(~(x|y))-4*(~(x|~y))+2*(x&~y)-3*(x&y),1*(x|~y),1*(x|~y),1*(x|~y),True,0.009488344192504883
(x^y)-2*~x-5*y+(~(x^y))-1*(~(x&y))+2*~y+2*(x|y)-1*x-1*(~(x|y))+4*(~(x|~y))-4*(x&~y)+2*(x&y),-(~(x&~x)),1,1,True,0.009043216705322266
