#complex,groundtruth,simplifiedcomplex,simplifiedgroundtruth,z3flag,simtime
~y-1*~x-1*(~(x&~x))+x+2*(x|y)+(~(x^y))-1*(~(x&y))-2*(x|~y)+1*(~(x|y))+1*(x&~y)-3*(x&y),1*(x^y)-2*(~(x&~y)),-2*~(x|y)-1*~(x|~y)+1*(x&~y)-2*(x&y),-2*~(x|y)-1*~(x|~y)+1*(x&~y)-2*(x&y),True,0.0008475780487060547
-1*(~(x&~x))-1*y+~y-1*(~(x&~y))-1*x+1*(~(x|~y))+3*(x&y),-(x|y)-~x,-1*~(x|y)-2*~(x|~y)-1*(x&~y)-1*(x&y),-1*~(x|y)-2*~(x|~y)-1*(x&~y)-1*(x&y),True,0.0007436275482177734
2*y-(~x)+(~y),x+y,1*~(x|~y)+1*(x&~y)+2*(x&y),1*~(x|~y)+1*(x&~y)+2*(x&y),True,0.0005609989166259766
-(x^y)+2*y+2*(x&~y),x+y,1*~(x|~y)+1*(x&~y)+2*(x&y),1*~(x|~y)+1*(x&~y)+2*(x&y),True,0.0005755424499511719
-(x&y)-2*(~x&y)+~(x|y)-~(x^y),-2*y,-2*y,-2*y,True,0.0006103515625
-2*(~x&y)+(x^y)+~(x|y)-(x|~y),-y,-1*y,-1*y,True,0.0006551742553710938
(~x|y)+(x&~y)-~(x^y),x^y,1*(x^y),1*(x^y),True,0.0005888938903808594
(x|y)-(~x&y)-(x&~y),x&y,1*(x&y),1*(x&y),True,0.0005846023559570312
-2*(x&y)-2*(x|y)+~y-~x,-x-3*y,-3*~(x|~y)-1*(x&~y)-4*(x&y),-3*~(x|~y)-1*(x&~y)-4*(x&y),True,0.0006425380706787109
3*(x&~y)-(~x&y)+(~x|y)-~(x&y),2*x-y,-1*~(x|~y)+2*(x&~y)+1*(x&y),-1*~(x|~y)+2*(x&~y)+1*(x&y),True,0.0006248950958251953
-3*(x&~y)+2*(x^y)-(x|y)+(x|~y)-(~x|y),-x,-1*x,-1*x,True,0.0006308555603027344
-(x|~y)+(~y)+(x&~y)+y,x^y,1*(x^y),1*(x^y),True,0.0005958080291748047
4*(~x&y)-(x^y)+3*~(x|y)+~(x^y)-~y-~x-(~x|y)-~(x&y),-3*(x&~y),-3*(x&~y),-3*(x&~y),True,0.0007061958312988281
-4*(x&y)-(x&~y)-(~x&y)-(x^y),-2*x-2*y,-2*~(x|~y)-2*(x&~y)-4*(x&y),-2*~(x|~y)-2*(x&~y)-4*(x&y),True,0.0006499290466308594
-2*(x&y)-(~x&y)-(x^y)+3*~(x|y)-~(x^y)-(x|~y)-(~x|y),-2*x-3*y,-3*~(x|~y)-2*(x&~y)-5*(x&y),-3*~(x|~y)-2*(x&~y)-5*(x&y),True,0.0007011890411376953
4*(~x&y)-(x^y)+3*~(x|y)+~(x^y)-~y-~x-(~x|y)-~(x&y),-3*(x&~y),-3*(x&~y),-3*(x&~y),True,0.0007090568542480469
-(x&y)-(x&~y)+(~x&y)+~y-~(x&y),-x,-1*x,-1*x,True,0.0006165504455566406
2*(x&~y)+2*(x^y)-(x|y)+2*~(x^y)-~y-~(x&y),x,1*x,1*x,True,0.0006694793701171875
-1*(~(x&~y))-4*(~(x&y))-1*~y-1*(~(x^y))-2*(x|y)+~x+2*(x^y)+x+5*(~(x|y))+3*(~(x|~y))+3*(x&~y)+2*(x&y),-(~(x&~x)),1,1,True,0.0007879734039306641
2*(~(x&~x))+(~(x&~y))-2*(x|y)-1*(~(x^y))+(x^y)-1*(~(x|~y)),1*~y+1*~x,2*~(x|y)+1*~(x|~y)+1*(x&~y),2*~(x|y)+1*~(x|~y)+1*(x&~y),True,0.0006959438323974609
-4*(x&y)-(x&~y)-(~x&y)-(x^y),-2*x-2*y,-2*~(x|~y)-2*(x&~y)-4*(x&y),-2*~(x|~y)-2*(x&~y)-4*(x&y),True,0.0006189346313476562
-3*(x&y)+(x&~y)-(~x&y)+3*~(x|y)-~x-(~x|y)-~(x&y),-4*y,-4*y,-4*y,True,0.0006804466247558594
-1*y+~y-1*(~(x&~y))-5*(~(x^y))-1*(x|y)+(x|~y)+(~(x&y))-2*(~(x&~x))+5*(~(x|y))+4*(~(x|~y))+2*(x&~y)+11*(x&y),2*x,2*x,2*x,True,0.0008294582366943359
-2*(~(x&~x))-2*(~(x&y))-1*(x^y)-1*(~(x&~y))-1*(~(x^y))-1*~x-1*y+(x|~y)+2*(x|y)+4*(~(x|y))+6*(~(x|~y))+2*(x&y),-2*~y,-2*~y,-2*~y,True,0.0007953643798828125
-1*(~(x&y))-1*(x|~y)+~y-1*(~(x&~x))-1*(x^y)-4*(x|y)-1*~x-1*(~(x&~y))+5*(~(x|y))+9*(~(x|~y))+8*(x&~y)+9*(x&y),1*x+1*(~(x^y)),1*~(x|y)+1*(x&~y)+2*(x&y),1*~(x|y)+1*(x&~y)+2*(x&y),True,0.0008218288421630859
(x|~y)+(~x&y)-(~(x&y))+(x|y),x+y,1*~(x|~y)+1*(x&~y)+2*(x&y),1*~(x|~y)+1*(x&~y)+2*(x&y),True,0.000621795654296875
2*(~(x^y))+3*(~x&y)+3*(x&~y)-2*(~(x&y)),x+y,1*~(x|~y)+1*(x&~y)+2*(x&y),1*~(x|~y)+1*(x&~y)+2*(x&y),True,0.0006687641143798828
-1*x+~y+4*~x-1*(x|~y)+(~(x&~x))-2*(x^y)+(~(x^y))+(~(x&~y))-6*(~(x|y))-4*(~(x|~y))+3*(x&~y)-2*(x&y),-y+1*(~(x&y)),1*~(x|y)+1*(x&~y)-1*(x&y),1*~(x|y)+1*(x&~y)-1*(x&y),True,0.0008146762847900391
2*y-(~x&y)+(x&~y),x+y,1*~(x|~y)+1*(x&~y)+2*(x&y),1*~(x|~y)+1*(x&~y)+2*(x&y),True,0.0005848407745361328
2*y-1*(x|~y)-1*(x|y)+2*~y+~x+(x^y)-1*(~(x&~y))-1*(~(x&~x))-4*(~(x|y))-1*(~(x|~y))-2*(x&y),-4*(~(x^y)),-4*~(x^y),-4*~(x^y),True,0.0007731914520263672
-1*x-2*(x|y)+(~(x&y))+~x-1*(~(x&~y))-1*(x^y)-2*(~(x&~x))+4*(~(x|~y))+4*(x&~y)+5*(x&y),-(x|~y),-1*(x|~y),-1*(x|~y),True,0.0007545948028564453
2*(~(x&y))+~y-1*y-2*~x-1*(x|y)+(~(x^y))-1*(x|~y)-1*(~(x&~x))+2*(~(x|~y))-1*(x&~y)+3*(x&y),-(x^y),-1*(x^y),-1*(x^y),True,0.0007646083831787109
-1*(x^y)+(x|y)-2*x-1*(~(x&~y))+(~(x^y))+~x+y+(~(x&y))-2*(~(x|y))-1*(~(x|~y))+1*(x&~y),1*(~(x&~x))-(x|~y),1*~(x|~y),1*~(x|~y),True,0.0008351802825927734
-1*(~(x&y))+~x+(~(x&~x))-1*(x|y)+x-1*(x&~y),-(x^y)+1*(~(x&~y)),1*~(x|y)-1*(x&~y)+1*(x&y),1*~(x|y)-1*(x&~y)+1*(x&y),True,0.0006928443908691406
-2*(x&~y)+4*(x^y)-2*(x|y)+3*~(x^y)-(x|~y)-~x-(~x|y),-x,-1*x,-1*x,True,0.0006685256958007812
~x-4*(~(x&y))+2*~y+(~(x^y))-1*x-3*(~(x|y))+2*(x&~y)-3*(x&y),-2*(~(x&~y))-(~(x&~x)),-3*~(x|y)-3*~(x|~y)-1*(x&~y)-3*(x&y),-3*~(x|y)-3*~(x|~y)-1*(x&~y)-3*(x&y),True,0.000728607177734375
(~x&y)-(x^y)+~(x|y)-~(x^y),-x,-1*x,-1*x,True,0.0005984306335449219
3*(x&~y)-(x^y)+~x-~(x&y),x-y,-1*~(x|~y)+1*(x&~y),-1*~(x|~y)+1*(x&~y),True,0.0006494522094726562
(x^y)+(~x|y)-(~x),x|y,1*(x|y),1*(x|y),True,0.0005769729614257812
-1*(~(x^y))+2*x+y-1*(x^y)+(~(x&y))+(~(x&~x))+(~(x&~y))-4*(~(x|y))-4*(~(x|~y))-4*(x&~y)-4*(x&y),-~x-~y,-2*~(x|y)-1*~(x|~y)-1*(x&~y),-2*~(x|y)-1*~(x|~y)-1*(x&~y),True,0.0007882118225097656
y-1*(~(x&~x))-1*(~(x&~y))-1*(x|y)-2*x+2*(~(x|~y))+2*(x&~y)+2*(x&y),-2*(x|~y),-2*(x|~y),-2*(x|~y),True,0.0006988048553466797
(~(x&~y))+5*(~(x^y))-1*~x+3*(x|y)-1*x+(~(x&y))+(x^y)+~y-5*(~(x|y))-3*(~(x|~y))-3*(x&~y)-6*(x&y),2*(~(x&~x)),-2,-2,True,0.0008251667022705078
2*y-1*(x|~y)-1*(x|y)+2*~y+~x+(x^y)-1*(~(x&~y))-1*(~(x&~x))-4*(~(x|y))-1*(~(x|~y))-2*(x&y),-4*(~(x^y)),-4*~(x^y),-4*~(x^y),True,0.0007698535919189453
(~(x^y))+2*~y+(~(x&y))-1*(x|y)+(~(x&~x))-1*(~(x&~y))-1*x+y-3*(~(x|y))-2*(x&~y),1*~x,1*~x,1*~x,True,0.000743865966796875
y+(~(x&~x))-1*(~(x&~y))-2*(x|~y)-3*(x|y)+2*(~(x|y))+1*(~(x|~y))+4*(x&~y)+5*(x&y),-~x+1*(~(x^y)),-1*~(x|~y)+1*(x&y),-1*~(x|~y)+1*(x&y),True,0.0007565021514892578
2*~y-2*(~(x^y))+1*(~(x|y))-1*(x&~y)+3*(x&y),1*(x|~y),1*(x|~y),1*(x|~y),True,0.0006537437438964844
-(x&y)-(x|y)+(x|~y)-(~x|y),-2*y,-2*y,-2*y,True,0.0006039142608642578
~y-1*y+~x-2*(~(x&y))+(~(x^y))+(~(x&~x))+(x|y)-1*(~(x|y))-1*(x&y),1*(x|~y),1*(x|~y),1*(x|~y),True,0.0007147789001464844
-1*(x^y)+~y-1*~x-1*y-1*(x|y)+(x|~y)+(~(x&~x))-3*(~(x|y))+2*(~(x|~y))-2*(x&~y),-(~(x&y)),-1*~(x&y),-1*~(x&y),True,0.0007381439208984375
-1*(~(x^y))+2*~y-2*(x|y)-1*y+(~(x&y))-3*(~(x|y))+1*(~(x|~y))-1*(x&~y)+3*(x&y),-(~(x&~y)),-1*~(x&~y),-1*~(x&~y),True,0.0007390975952148438
y-1*(x^y)-1*x-2*(x|y)+5*(~(x&~x))+(~(x&y))+(x|~y)+4*(~(x^y))+~x-9*(~(x|y))-5*(~(x|~y))-8*(x&y),3*~y,3*~y,3*~y,True,0.0008151531219482422
-1*(x^y)-1*(~(x&~y))+2*(~(x^y))-1*(x|y)+(x|~y)+(~(x&y))+2*~y+(~(x&~x))-6*(~(x|y))-3*(x&~y)-3*(x&y),-y,-1*y,-1*y,True,0.0007684230804443359
-1*(~(x^y))-2*~y+x+y+(~(x&y))-1*(x|y)+(x^y)+2*~x-1*(x|~y)-5*(~(x|~y)),-(~(x&~x)),1,1,True,0.0007350444793701172
-1*y-1*~y+(x|~y)+(~(x^y))-1*(~(x&~x))+1*(~(x|y))+3*(~(x|~y))+1*(x&~y)-1*(x&y),-x+1*(~(x&y)),1*~(x|y)+1*~(x|~y)-1*(x&y),1*~(x|y)+1*~(x|~y)-1*(x&y),True,0.0007448196411132812
-2*(~(x&~x))-2*(~(x&y))-1*(x^y)-1*(~(x&~y))-1*(~(x^y))-1*~x-1*y+(x|~y)+2*(x|y)+4*(~(x|y))+6*(~(x|~y))+2*(x&y),-2*~y,-2*~y,-2*~y,True,0.0008158683776855469
2*(x^y)-1*~x+~y+(~(x&~x))+2*(~(x&~y))-1*(x|~y)-2*x+(x|y)-1*(~(x|y))-5*(~(x|~y))-2*(x&~y),1*(~(x^y)),1*~(x^y),1*~(x^y),True,0.0007832050323486328
(~(x&~y))+(~(x^y))-2*x+(~(x&y))-1*(x^y)+~y+(x|~y)+2*y-8*(~(x|y))-6*(~(x|~y))-1*(x&~y)-4*(x&y),-(~(x&~x))-2*~x,-3*~(x|y)-3*~(x|~y)-1*(x&~y)-1*(x&y),-3*~(x|y)-3*~(x|~y)-1*(x&~y)-1*(x&y),True,0.0008196830749511719
-1*(~(x&~y))+2*(x^y)-1*~x+3*~y-1*(x|~y)-2*y-1*(~(x&~x))+(~(x^y))-1*(~(x|y))+2*(~(x|~y))-3*(x&~y)+5*(x&y),1*x-(~(x&y)),-1*~(x|y)-1*~(x|~y)+1*(x&y),-1*~(x|y)-1*~(x|~y)+1*(x&y),True,0.0008246898651123047
-1*(~(x&~y))+(~(x^y))-1*(~(x&y))-2*(x|~y)+(~(x&~x))+x-1*~x+y+5*(~(x|y))-1*(~(x|~y))+1*(x&~y)-3*(x&y),-2*(x|y)+2*~y,2*~(x|y)-2*~(x|~y)-2*(x&y),2*~(x|y)-2*~(x|~y)-2*(x&y),True,0.0008227825164794922
-1*(~(x&~y))-5*(x|y)+(x^y)+(x|~y)-1*(~(x^y))+~y+y+1*(~(x|y))+5*(~(x|~y))+3*(x&~y)+5*(x&y),1*(~(x&y)),1*~(x&y),1*~(x&y),True,0.0007793903350830078
-1*(x^y)+2*(~(x^y))-2*~y+~x-1*(~(x&~x))-1*(~(x&y))+x+1*(~(x|y))+1*(~(x|~y))+5*(x&~y)-3*(x&y),-2*y+1*(x|y),-1*~(x|~y)+1*(x&~y)-1*(x&y),-1*~(x|~y)+1*(x&~y)-1*(x&y),True,0.0007936954498291016
-1*(~(x&y))-1*(x|~y)+~y-1*(~(x&~x))-1*(x^y)-4*(x|y)-1*~x-1*(~(x&~y))+5*(~(x|y))+9*(~(x|~y))+8*(x&~y)+9*(x&y),1*x+1*(~(x^y)),1*~(x|y)+1*(x&~y)+2*(x&y),1*~(x|y)+1*(x&~y)+2*(x&y),True,0.0008678436279296875
-1*(~(x&~x))-1*(x|~y)+2*y+(~(x&y))+1*(~(x|y))-1*(~(x|~y))+2*(x&~y),1*(x^y),1*(x^y),1*(x^y),True,0.0006997585296630859
-1*~x-1*(x|y)-1*(~(x&~x))-1*(~(x&~y))+x-2*(x|~y)+3*(~(x|y))+3*(~(x|~y))+2*(x&~y)+3*(x&y),-(~(x^y))-(~(x&y)),-2*~(x|y)-1*~(x|~y)-1*(x&~y)-1*(x&y),-2*~(x|y)-1*~(x|~y)-1*(x&~y)-1*(x&y),True,0.0007882118225097656
-1*(x|y)-2*x-1*(~(x&~x))-1*y-3*~x+(x^y)-1*(~(x^y))+~y+2*(~(x&y))+3*(~(x|~y))-2*(x&~y)+4*(x&y),-2*(x|~y),-2*(x|~y),-2*(x|~y),True,0.0007786750793457031
x-1*(x^y)+(~(x&y))-1*(~(x^y))-1*(x|y)+(x|~y)-3*(~(x|~y))-4*(x&y),-5*y+1*(~(x&~x)),1*~(x|y)-4*~(x|~y)+1*(x&~y)-4*(x&y),1*~(x|y)-4*~(x|~y)+1*(x&~y)-4*(x&y),True,0.0007276535034179688
~y-1*(x|~y)+(x|y)+(~(x&y))+(~(x&~y))+5*~x-7*(~(x|y))-10*(~(x|~y))-4*(x&~y)-5*(x&y),-2*y-2*x,-2*~(x|~y)-2*(x&~y)-4*(x&y),-2*~(x|~y)-2*(x&~y)-4*(x&y),True,0.0007557868957519531
(~(x^y))+~x-1*y-1*x-1*(~(x|y))+1*(~(x|~y))+2*(x&~y)+2*(x&y),1*(~(x&~x)),-1,-1,True,0.0007326602935791016
2*y-1*(x^y)-1*(~(x&y))-2*x-2*(~(x&~x))+(x|~y)+3*(~(x|y))+4*(~(x|~y))+4*(x&~y)+1*(x&y),-~y+2*~x,1*~(x|y)+2*~(x|~y)-1*(x&~y),1*~(x|y)+2*~(x|~y)-1*(x&~y),True,0.0007672309875488281
~x-1*y+(x|y)+x-1*(~(x^y))-1*(~(x&~x))-2*(x&~y),-(x|~y),-1*(x|~y),-1*(x|~y),True,0.0006728172302246094
(~(x^y))+(x|~y)+2*(~(x&y))-1*x-1*(x|y)-1*(~(x&~y))-1*y+4*(~(x|~y))+1*(x&~y)+4*(x&y),1*~x+2*(~(x&~x)),3*~(x|y)+3*~(x|~y)+2*(x&~y)+2*(x&y),3*~(x|y)+3*~(x|~y)+2*(x&~y)+2*(x&y),True,0.0007719993591308594
-1*(~(x&y))+(x|y)+(x^y)-1*~y-2*x-4*(~(x&~x))+7*(~(x|y))+3*(~(x|~y))+7*(x&~y)+6*(x&y),1*(x|~y),1*(x|~y),1*(x|~y),True,0.0007889270782470703
-1*y+(~(x&~x))-1*x-1*(~(x^y))+(x|~y)-2*(x&~y)+2*(x&y),-(x^y)+1*(~(x&~y)),1*~(x|y)-1*(x&~y)+1*(x&y),1*~(x|y)-1*(x&~y)+1*(x&y),True,0.0007112026214599609
-1*(x|y)+(~(x&~y))+2*y-2*~y-1*~x-1*(~(x&~x))+(~(x^y))+x+2*(~(x|y))-1*(~(x|~y))+3*(x&~y)-2*(x&y),-(~(x&y))+1*(x|~y),-1*~(x|~y)+1*(x&y),-1*~(x|~y)+1*(x&y),True,0.0008246898651123047
2*y+~y+(x^y)-1*(~(x&~x))-1*~x+(x|~y)+(~(x&y))+(x|y)-2*(~(x|y))-3*(~(x|~y))-4*(x&~y)-4*(x&y),-(~(x^y)),-1*~(x^y),-1*~(x^y),True,0.0007956027984619141
-1*(~(x&~x))+(x^y)-2*(~(x&~y))-1*(~(x&y))+~x+(x|y)+1*(~(x|y))+1*(~(x|~y))-3*(x&~y)-1*(x&y),-2*(x|~y)-x,-2*~(x|y)-3*(x&~y)-3*(x&y),-2*~(x|y)-3*(x&~y)-3*(x&y),True,0.0007901191711425781
5*~y+(~(x^y))-1*y+2*(x|y)+5*~x-11*(~(x|y))-8*(~(x|~y))-14*(x&~y)-7*(x&y),-5*x-2*(x^y),-2*~(x|~y)-7*(x&~y)-5*(x&y),-2*~(x|~y)-7*(x&~y)-5*(x&y),True,0.0007350444793701172
~x-5*(~(x&~x))+(~(x^y))-4*(x|y)+(x|~y)-1*(x^y)-1*(~(x&~y))-2*x+3*(~(x|y))+7*(~(x|~y))+11*(x&~y)+7*(x&y),-3*y,-3*y,-3*y,True,0.0007801055908203125
(~(x&~x))-2*~x-3*(~(x&y))-1*(~(x&~y))-1*~y+(x^y)-1*x-1*(x|y)+7*(~(x|y))+5*(~(x|~y))+5*(x&~y)+3*(x&y),1*(x|~y),1*(x|~y),1*(x|~y),True,0.0007960796356201172
-1*(~(x&~y))+2*x+3*(~(x&~x))+2*y+~x+(~(x^y))-1*(x|y)-2*(x|~y)-2*(~(x|y))-5*(~(x|~y))-3*(x&~y)-4*(x&y),-(x^y),-1*(x^y),-1*(x^y),True,0.0007984638214111328
5*y+x+(x|y)+~x-1*~y+(~(x^y))+(~(x&y))-3*(~(x|y))-10*(~(x|~y))-3*(x&~y)-9*(x&y),-(~(x&~y))-(x^y),-1*~(x|y)-2*~(x|~y)-1*(x&~y)-1*(x&y),-1*~(x|y)-2*~(x|~y)-1*(x&~y)-1*(x&y),True,0.0007872581481933594
~y+5*(x|~y)-1*x-1*(~(x&~x))-1*(x^y)-1*(~(x&~y))-1*(~(x^y))-3*(~(x|y))+3*(~(x|~y))-4*(x&~y)-1*(x&y),1*y-(x|y),-1*(x&~y),-1*(x&~y),True,0.0007929801940917969
-1*(x|y)+(~(x^y))-1*~x-1*(~(x&y))-1*(~(x&~x))-1*~y+(x^y)+y+2*(x&~y)-3*(x&y),-2*(~(x&~y))-(x|~y),-3*~(x|y)-2*~(x|~y)-1*(x&~y)-3*(x&y),-3*~(x|y)-2*~(x|~y)-1*(x&~y)-3*(x&y),True,0.0007798671722412109
(~(x^y))+~x+y-1*(~(x&~y))+~y-1*(~(x&y))+(x^y)-1*(x|y)-1*(x|~y)+1*(~(x|y))+1*(~(x|~y))+2*(x&~y)+2*(x&y),1*(~(x&~x)),-1,-1,True,0.0008161067962646484
-1*(x|y)+(~(x&~y))+~y+~x+(~(x&~x))-1*(~(x^y))+x-1*(x^y)+(~(x&y))-3*(~(x|y))-2*(~(x|~y))-1*(x&~y),1*(x|~y),1*(x|~y),1*(x|~y),True,0.0008084774017333984
-1*~x+(~(x&~x))+~y-1*(x|~y)+2*(x|y)-1*x-2*(~(x^y))-2*(~(x&~y))-1*(~(x&y))+5*(~(x|y))-2*(x&~y)+3*(x&y),-(x^y),-1*(x^y),-1*(x^y),True,0.0007903575897216797
(x|y)-1*~x-1*(~(x&~x))+(x^y)+4*(~(x|y))+2*(~(x|~y))-1*(x&y),-x+2*(~(x&y)),2*~(x|y)+2*~(x|~y)+1*(x&~y)-1*(x&y),2*~(x|y)+2*~(x|~y)+1*(x&~y)-1*(x&y),True,0.0007102489471435547
-1*(~(x&y))+(x|y)-1*(x^y)-1*x+2*~x-1*(~(x&~y))-1*(~(x^y))-1*(x|~y)+3*(~(x|y))+1*(~(x|~y))+4*(x&~y)+4*(x&y),1*y+1*~y,-1,-1,True,0.0008039474487304688
-1*y+~y+(x|y)+2*(~(x&~y))-3*(x|~y)+(~(x&y))-2*~x-1*(~(x|~y))+1*(x&~y)+1*(x&y),-(~(x^y))+1*x,-1*~(x|y)+1*(x&~y),-1*~(x|y)+1*(x&~y),True,0.0008151531219482422
(~(x&y))+y+2*(~(x&~x))+x-1*(~(x&~y))+2*(~(x^y))-4*(~(x|y))-4*(~(x|~y))-5*(x&~y)-5*(x&y),-(x^y),-1*(x^y),-1*(x^y),True,0.0007979869842529297
(~(x&~y))+5*(~(x^y))-1*~x+3*(x|y)-1*x+(~(x&y))+(x^y)+~y-5*(~(x|y))-3*(~(x|~y))-3*(x&~y)-6*(x&y),2*(~(x&~x)),-2,-2,True,0.0007958412170410156
-3*(~(x&~y))+(~(x^y))+(~(x&~x))-1*y+1*(~(x|y))+4*(~(x|~y))-2*(x&~y)+1*(x&y),1*~x-(x|~y),1*~(x|~y)-1*(x&~y)-1*(x&y),1*~(x|~y)-1*(x&~y)-1*(x&y),True,0.0007493495941162109
-1*y+(~(x^y))-1*x-4*(~(x|y))-2*(x&~y)-1*(x&y),-(~(x&y))-2*(x|~y),-3*~(x|y)-1*~(x|~y)-3*(x&~y)-2*(x&y),-3*~(x|y)-1*~(x|~y)-3*(x&~y)-2*(x&y),True,0.0006856918334960938
y+(x|~y)-1*(~(x&~x))-1*(~(x^y))-4*x-1*(x|y)-1*(~(x&~y))-1*(~(x&y))+4*(~(x|y))+4*(~(x|~y))+8*(x&~y)+6*(x&y),1*~y+1*(x^y),1*~(x|y)+1*~(x|~y)+2*(x&~y),1*~(x|y)+1*~(x|~y)+2*(x&~y),True,0.0008311271667480469
(~(x&~x))-1*y+(x|y)-3*~x+2*(~(x^y))+~y-1*(~(x&y))+2*(~(x|y))+4*(~(x|~y))-1*(x&~y)-1*(x&y),1*(x|~y)+1*(~(x&~y)),2*~(x|y)+1*~(x|~y)+1*(x&~y)+2*(x&y),2*~(x|y)+1*~(x|~y)+1*(x&~y)+2*(x&y),True,0.0008327960968017578
-3*(~(x^y))+~y-1*(x|~y)+~x-1*(x|y)+(x^y)+(~(x&~y))-1*(~(x&~x))+5*(~(x|y))+2*(~(x|~y))+4*(x&~y)+5*(x&y),3*(~(x&y)),3*~(x&y),3*~(x&y),True,0.0008769035339355469
(x|~y)+~x+x+(~(x&~y))-1*(x|y)+4*~y+(~(x^y))+(~(x&y))-1*y-8*(~(x|y))-5*(x&~y)-1*(x&y),1*(~(x&~x)),-1,-1,True,0.0008051395416259766
(~(x&y))-1*(x|y)-1*(~(x&~y))-2*(~(x&~x))-1*x+3*(~(x|y))+2*(~(x|~y))+3*(x&~y)+5*(x&y),1*(~(x^y))-y,1*~(x|y)-1*~(x|~y),1*~(x|y)-1*~(x|~y),True,0.0007834434509277344
-1*(x^y)+(x|~y)+(~(x&y))+~x+x+(~(x^y))-2*(~(x&~x))+~y-2*(~(x|y))+4*(~(x|~y))+1*(x&~y)+2*(x&y),1*(~(x&~y))+2*(x|y),1*~(x|y)+3*~(x|~y)+2*(x&~y)+3*(x&y),1*~(x|y)+3*~(x|~y)+2*(x&~y)+3*(x&y),True,0.0008471012115478516
(x|~y)+2*y+4*x+(~(x&~y))+(~(x^y))+2*(~(x&~x))-5*(~(x|y))-6*(~(x|~y))-8*(x&~y)-12*(x&y),-(x|y),-1*(x|y),-1*(x|y),True,0.0007834434509277344
~y-1*(x|y)+(~(x&~y))-1*(~(x&~x))+(x^y)-1*y-2*(~(x|y))+1*(~(x|~y))-1*(x&~y)+1*(x&y),-(x|~y),-1*(x|~y),-1*(x|~y),True,0.0007815361022949219
-1*(x|y)+(~(x^y))-1*~x-1*(~(x&y))-1*(~(x&~x))-1*~y+(x^y)+y+2*(x&~y)-3*(x&y),-2*(~(x&~y))-(x|~y),-3*~(x|y)-2*~(x|~y)-1*(x&~y)-3*(x&y),-3*~(x|y)-2*~(x|~y)-1*(x&~y)-3*(x&y),True,0.0007979869842529297
-1*(~(x&~x))+(~(x&~y))-1*(x^y)-1*y-1*~x+x+2*~y-1*(x|y)+4*(~(x|~y))+1*(x&~y)+2*(x&y),1*(x|~y),1*(x|~y),1*(x|~y),True,0.0007784366607666016
(~(x^y))+~x-1*~y+(~(x&~y))-1*(x|y)+(~(x&~x))+2*y-2*(~(x|y))-4*(~(x|~y))+2*(x&~y)-3*(x&y),1*(x|~y),1*(x|~y),1*(x|~y),True,0.0008018016815185547
