#complex,groundtruth,simcomplex,simground,boolectorres,verificationtime
-1*(~(x&~x))-1*y+~y-1*(~(x&~y))-1*x+1*(~(x|~y))+3*(x&y),-(x|y)-~x,-1*~(x|y)-2*~(x|~y)-1*(x&~y)-1*(x&y), -1*~(x|y)-2*~(x|~y)-1*(x&~y)-1*(x&y),True,0.000280141830444
2*y-(~x)+(~y),x+y,1*~(x|~y)+1*(x&~y)+2*(x&y), 1*~(x|~y)+1*(x&~y)+2*(x&y),True,0.000234842300415
-(x^y)+2*y+2*(x&~y),x+y,1*~(x|~y)+1*(x&~y)+2*(x&y), 1*~(x|~y)+1*(x&~y)+2*(x&y),True,0.000231027603149
-(x&y)-2*(~x&y)+~(x|y)-~(x^y),-2*y,-2*y, -2*y,True,0.000171899795532
-2*(~x&y)+(x^y)+~(x|y)-(x|~y),-y,-1*y, -1*y,True,0.000171899795532
(~x|y)+(x&~y)-~(x^y),x^y,1*(x^y), 1*(x^y),True,0.000182151794434
(x|y)-(~x&y)-(x&~y),x&y,1*(x&y), 1*(x&y),True,0.000173091888428
-2*(x&y)-2*(x|y)+~y-~x,-x-3*y,-3*~(x|~y)-1*(x&~y)-4*(x&y), -3*~(x|~y)-1*(x&~y)-4*(x&y),True,0.000242948532104
3*(x&~y)-(~x&y)+(~x|y)-~(x&y),2*x-y,-1*~(x|~y)+2*(x&~y)+1*(x&y), -1*~(x|~y)+2*(x&~y)+1*(x&y),True,0.00023078918457
-3*(x&~y)+2*(x^y)-(x|y)+(x|~y)-(~x|y),-x,-1*x, -1*x,True,0.000176191329956
-(x|~y)+(~y)+(x&~y)+y,x^y,1*(x^y), 1*(x^y),True,0.000180006027222
4*(~x&y)-(x^y)+3*~(x|y)+~(x^y)-~y-~x-(~x|y)-~(x&y),-3*(x&~y),-3*(x&~y), -3*(x&~y),True,0.00017786026001
-4*(x&y)-(x&~y)-(~x&y)-(x^y),-2*x-2*y,-2*~(x|~y)-2*(x&~y)-4*(x&y), -2*~(x|~y)-2*(x&~y)-4*(x&y),True,0.000257968902588
-2*(x&y)-(~x&y)-(x^y)+3*~(x|y)-~(x^y)-(x|~y)-(~x|y),-2*x-3*y,-3*~(x|~y)-2*(x&~y)-5*(x&y), -3*~(x|~y)-2*(x&~y)-5*(x&y),True,0.0002601146698
4*(~x&y)-(x^y)+3*~(x|y)+~(x^y)-~y-~x-(~x|y)-~(x&y),-3*(x&~y),-3*(x&~y), -3*(x&~y),True,0.000181913375854
-(x&y)-(x&~y)+(~x&y)+~y-~(x&y),-x,-1*x, -1*x,True,0.000173807144165
2*(x&~y)+2*(x^y)-(x|y)+2*~(x^y)-~y-~(x&y),x,1*x, 1*x,True,0.000160932540894
-1*(~(x&~y))-4*(~(x&y))-1*~y-1*(~(x^y))-2*(x|y)+~x+2*(x^y)+x+5*(~(x|y))+3*(~(x|~y))+3*(x&~y)+2*(x&y),-(~(x&~x)),1, 1,True,0.000133037567139
2*(~(x&~x))+(~(x&~y))-2*(x|y)-1*(~(x^y))+(x^y)-1*(~(x|~y)),1*~y+1*~x,2*~(x|y)+1*~(x|~y)+1*(x&~y), 2*~(x|y)+1*~(x|~y)+1*(x&~y),True,0.000231027603149
-4*(x&y)-(x&~y)-(~x&y)-(x^y),-2*x-2*y,-2*~(x|~y)-2*(x&~y)-4*(x&y), -2*~(x|~y)-2*(x&~y)-4*(x&y),True,0.0002601146698
-3*(x&y)+(x&~y)-(~x&y)+3*~(x|y)-~x-(~x|y)-~(x&y),-4*y,-4*y, -4*y,True,0.000172138214111
-1*y+~y-1*(~(x&~y))-5*(~(x^y))-1*(x|y)+(x|~y)+(~(x&y))-2*(~(x&~x))+5*(~(x|y))+4*(~(x|~y))+2*(x&~y)+11*(x&y),2*x,2*x, 2*x,True,0.00016713142395
-2*(~(x&~x))-2*(~(x&y))-1*(x^y)-1*(~(x&~y))-1*(~(x^y))-1*~x-1*y+(x|~y)+2*(x|y)+4*(~(x|y))+6*(~(x|~y))+2*(x&y),-2*~y,-2*~y, -2*~y,True,0.000168085098267
-1*(~(x&y))-1*(x|~y)+~y-1*(~(x&~x))-1*(x^y)-4*(x|y)-1*~x-1*(~(x&~y))+5*(~(x|y))+9*(~(x|~y))+8*(x&~y)+9*(x&y),1*x+1*(~(x^y)),1*~(x|y)+1*(x&~y)+2*(x&y), 1*~(x|y)+1*(x&~y)+2*(x&y),True,0.000236988067627
(x|~y)+(~x&y)-(~(x&y))+(x|y),x+y,1*~(x|~y)+1*(x&~y)+2*(x&y), 1*~(x|~y)+1*(x&~y)+2*(x&y),True,0.000231981277466
2*(~(x^y))+3*(~x&y)+3*(x&~y)-2*(~(x&y)),x+y,1*~(x|~y)+1*(x&~y)+2*(x&y), 1*~(x|~y)+1*(x&~y)+2*(x&y),True,0.000231027603149
-1*x+~y+4*~x-1*(x|~y)+(~(x&~x))-2*(x^y)+(~(x^y))+(~(x&~y))-6*(~(x|y))-4*(~(x|~y))+3*(x&~y)-2*(x&y),-y+1*(~(x&y)),1*~(x|y)+1*(x&~y)-1*(x&y), 1*~(x|y)+1*(x&~y)-1*(x&y),True,0.000231981277466
2*y-(~x&y)+(x&~y),x+y,1*~(x|~y)+1*(x&~y)+2*(x&y), 1*~(x|~y)+1*(x&~y)+2*(x&y),True,0.000231027603149
2*y-1*(x|~y)-1*(x|y)+2*~y+~x+(x^y)-1*(~(x&~y))-1*(~(x&~x))-4*(~(x|y))-1*(~(x|~y))-2*(x&y),-4*(~(x^y)),-4*~(x^y), -4*~(x^y),True,0.000184059143066
-1*x-2*(x|y)+(~(x&y))+~x-1*(~(x&~y))-1*(x^y)-2*(~(x&~x))+4*(~(x|~y))+4*(x&~y)+5*(x&y),-(x|~y),-1*(x|~y), -1*(x|~y),True,0.000185012817383
2*(~(x&y))+~y-1*y-2*~x-1*(x|y)+(~(x^y))-1*(x|~y)-1*(~(x&~x))+2*(~(x|~y))-1*(x&~y)+3*(x&y),-(x^y),-1*(x^y), -1*(x^y),True,0.000181913375854
-1*(x^y)+(x|y)-2*x-1*(~(x&~y))+(~(x^y))+~x+y+(~(x&y))-2*(~(x|y))-1*(~(x|~y))+1*(x&~y),1*(~(x&~x))-(x|~y),1*~(x|~y), 1*~(x|~y),True,0.000179052352905
-1*(~(x&y))+~x+(~(x&~x))-1*(x|y)+x-1*(x&~y),-(x^y)+1*(~(x&~y)),1*~(x|y)-1*(x&~y)+1*(x&y), 1*~(x|y)-1*(x&~y)+1*(x&y),True,0.000226020812988
-2*(x&~y)+4*(x^y)-2*(x|y)+3*~(x^y)-(x|~y)-~x-(~x|y),-x,-1*x, -1*x,True,0.000174045562744
~x-4*(~(x&y))+2*~y+(~(x^y))-1*x-3*(~(x|y))+2*(x&~y)-3*(x&y),-2*(~(x&~y))-(~(x&~x)),-3*~(x|y)-3*~(x|~y)-1*(x&~y)-3*(x&y), -3*~(x|y)-3*~(x|~y)-1*(x&~y)-3*(x&y),True,0.000432968139648
(~x&y)-(x^y)+~(x|y)-~(x^y),-x,-1*x, -1*x,True,0.000184059143066
3*(x&~y)-(x^y)+~x-~(x&y),x-y,-1*~(x|~y)+1*(x&~y), -1*~(x|~y)+1*(x&~y),True,0.000211954116821
(x^y)+(~x|y)-(~x),x|y,1*(x|y), 1*(x|y),True,0.000176906585693
-1*(~(x^y))+2*x+y-1*(x^y)+(~(x&y))+(~(x&~x))+(~(x&~y))-4*(~(x|y))-4*(~(x|~y))-4*(x&~y)-4*(x&y),-~x-~y,-2*~(x|y)-1*~(x|~y)-1*(x&~y), -2*~(x|y)-1*~(x|~y)-1*(x&~y),True,0.000241041183472
y-1*(~(x&~x))-1*(~(x&~y))-1*(x|y)-2*x+2*(~(x|~y))+2*(x&~y)+2*(x&y),-2*(x|~y),-2*(x|~y), -2*(x|~y),True,0.000182151794434
(~(x&~y))+5*(~(x^y))-1*~x+3*(x|y)-1*x+(~(x&y))+(x^y)+~y-5*(~(x|y))-3*(~(x|~y))-3*(x&~y)-6*(x&y),2*(~(x&~x)),-2, -2,True,0.000121116638184
2*y-1*(x|~y)-1*(x|y)+2*~y+~x+(x^y)-1*(~(x&~y))-1*(~(x&~x))-4*(~(x|y))-1*(~(x|~y))-2*(x&y),-4*(~(x^y)),-4*~(x^y), -4*~(x^y),True,0.000181913375854
(~(x^y))+2*~y+(~(x&y))-1*(x|y)+(~(x&~x))-1*(~(x&~y))-1*x+y-3*(~(x|y))-2*(x&~y),1*~x,1*~x, 1*~x,True,0.000165939331055
y+(~(x&~x))-1*(~(x&~y))-2*(x|~y)-3*(x|y)+2*(~(x|y))+1*(~(x|~y))+4*(x&~y)+5*(x&y),-~x+1*(~(x^y)),-1*~(x|~y)+1*(x&y), -1*~(x|~y)+1*(x&y),True,0.000209093093872
2*~y-2*(~(x^y))+1*(~(x|y))-1*(x&~y)+3*(x&y),1*(x|~y),1*(x|~y), 1*(x|~y),True,0.000180006027222
-(x&y)-(x|y)+(x|~y)-(~x|y),-2*y,-2*y, -2*y,True,0.000166893005371
~y-1*y+~x-2*(~(x&y))+(~(x^y))+(~(x&~x))+(x|y)-1*(~(x|y))-1*(x&y),1*(x|~y),1*(x|~y), 1*(x|~y),True,0.000179052352905
-1*(x^y)+~y-1*~x-1*y-1*(x|y)+(x|~y)+(~(x&~x))-3*(~(x|y))+2*(~(x|~y))-2*(x&~y),-(~(x&y)),-1*~(x&y), -1*~(x&y),True,0.000181913375854
-1*(~(x^y))+2*~y-2*(x|y)-1*y+(~(x&y))-3*(~(x|y))+1*(~(x|~y))-1*(x&~y)+3*(x&y),-(~(x&~y)),-1*~(x&~y), -1*~(x&~y),True,0.000185012817383
y-1*(x^y)-1*x-2*(x|y)+5*(~(x&~x))+(~(x&y))+(x|~y)+4*(~(x^y))+~x-9*(~(x|y))-5*(~(x|~y))-8*(x&y),3*~y,3*~y, 3*~y,True,0.000169992446899
-1*(x^y)-1*(~(x&~y))+2*(~(x^y))-1*(x|y)+(x|~y)+(~(x&y))+2*~y+(~(x&~x))-6*(~(x|y))-3*(x&~y)-3*(x&y),-y,-1*y, -1*y,True,0.000173091888428
-1*(~(x^y))-2*~y+x+y+(~(x&y))-1*(x|y)+(x^y)+2*~x-1*(x|~y)-5*(~(x|~y)),-(~(x&~x)),1, 1,True,0.000118017196655
-1*y-1*~y+(x|~y)+(~(x^y))-1*(~(x&~x))+1*(~(x|y))+3*(~(x|~y))+1*(x&~y)-1*(x&y),-x+1*(~(x&y)),1*~(x|y)+1*~(x|~y)-1*(x&y), 1*~(x|y)+1*~(x|~y)-1*(x&y),True,0.000231981277466
-2*(~(x&~x))-2*(~(x&y))-1*(x^y)-1*(~(x&~y))-1*(~(x^y))-1*~x-1*y+(x|~y)+2*(x|y)+4*(~(x|y))+6*(~(x|~y))+2*(x&y),-2*~y,-2*~y, -2*~y,True,0.000174045562744
2*(x^y)-1*~x+~y+(~(x&~x))+2*(~(x&~y))-1*(x|~y)-2*x+(x|y)-1*(~(x|y))-5*(~(x|~y))-2*(x&~y),1*(~(x^y)),1*~(x^y), 1*~(x^y),True,0.000185012817383
(~(x&~y))+(~(x^y))-2*x+(~(x&y))-1*(x^y)+~y+(x|~y)+2*y-8*(~(x|y))-6*(~(x|~y))-1*(x&~y)-4*(x&y),-(~(x&~x))-2*~x,-3*~(x|y)-3*~(x|~y)-1*(x&~y)-1*(x&y), -3*~(x|y)-3*~(x|~y)-1*(x&~y)-1*(x&y),True,0.000279188156128
-1*(~(x&~y))+2*(x^y)-1*~x+3*~y-1*(x|~y)-2*y-1*(~(x&~x))+(~(x^y))-1*(~(x|y))+2*(~(x|~y))-3*(x&~y)+5*(x&y),1*x-(~(x&y)),-1*~(x|y)-1*~(x|~y)+1*(x&y), -1*~(x|y)-1*~(x|~y)+1*(x&y),True,0.000242948532104
-1*(~(x&~y))+(~(x^y))-1*(~(x&y))-2*(x|~y)+(~(x&~x))+x-1*~x+y+5*(~(x|y))-1*(~(x|~y))+1*(x&~y)-3*(x&y),-2*(x|y)+2*~y,2*~(x|y)-2*~(x|~y)-2*(x&y), 2*~(x|y)-2*~(x|~y)-2*(x&y),True,0.000253915786743
-1*(~(x&~y))-5*(x|y)+(x^y)+(x|~y)-1*(~(x^y))+~y+y+1*(~(x|y))+5*(~(x|~y))+3*(x&~y)+5*(x&y),1*(~(x&y)),1*~(x&y), 1*~(x&y),True,0.00018310546875
-1*(x^y)+2*(~(x^y))-2*~y+~x-1*(~(x&~x))-1*(~(x&y))+x+1*(~(x|y))+1*(~(x|~y))+5*(x&~y)-3*(x&y),-2*y+1*(x|y),-1*~(x|~y)+1*(x&~y)-1*(x&y), -1*~(x|~y)+1*(x&~y)-1*(x&y),True,0.000237941741943
-1*(~(x&y))-1*(x|~y)+~y-1*(~(x&~x))-1*(x^y)-4*(x|y)-1*~x-1*(~(x&~y))+5*(~(x|y))+9*(~(x|~y))+8*(x&~y)+9*(x&y),1*x+1*(~(x^y)),1*~(x|y)+1*(x&~y)+2*(x&y), 1*~(x|y)+1*(x&~y)+2*(x&y),True,0.000231027603149
-1*(~(x&~x))-1*(x|~y)+2*y+(~(x&y))+1*(~(x|y))-1*(~(x|~y))+2*(x&~y),1*(x^y),1*(x^y), 1*(x^y),True,0.000180959701538
-1*~x-1*(x|y)-1*(~(x&~x))-1*(~(x&~y))+x-2*(x|~y)+3*(~(x|y))+3*(~(x|~y))+2*(x&~y)+3*(x&y),-(~(x^y))-(~(x&y)),-2*~(x|y)-1*~(x|~y)-1*(x&~y)-1*(x&y), -2*~(x|y)-1*~(x|~y)-1*(x&~y)-1*(x&y),True,0.000262975692749
-1*(x|y)-2*x-1*(~(x&~x))-1*y-3*~x+(x^y)-1*(~(x^y))+~y+2*(~(x&y))+3*(~(x|~y))-2*(x&~y)+4*(x&y),-2*(x|~y),-2*(x|~y), -2*(x|~y),True,0.00018310546875
x-1*(x^y)+(~(x&y))-1*(~(x^y))-1*(x|y)+(x|~y)-3*(~(x|~y))-4*(x&y),-5*y+1*(~(x&~x)),1*~(x|y)-4*~(x|~y)+1*(x&~y)-4*(x&y), 1*~(x|y)-4*~(x|~y)+1*(x&~y)-4*(x&y),True,0.000272989273071
~y-1*(x|~y)+(x|y)+(~(x&y))+(~(x&~y))+5*~x-7*(~(x|y))-10*(~(x|~y))-4*(x&~y)-5*(x&y),-2*y-2*x,-2*~(x|~y)-2*(x&~y)-4*(x&y), -2*~(x|~y)-2*(x&~y)-4*(x&y),True,0.000257968902588
(~(x^y))+~x-1*y-1*x-1*(~(x|y))+1*(~(x|~y))+2*(x&~y)+2*(x&y),1*(~(x&~x)),-1, -1,True,0.0001220703125
2*y-1*(x^y)-1*(~(x&y))-2*x-2*(~(x&~x))+(x|~y)+3*(~(x|y))+4*(~(x|~y))+4*(x&~y)+1*(x&y),-~y+2*~x,1*~(x|y)+2*~(x|~y)-1*(x&~y), 1*~(x|y)+2*~(x|~y)-1*(x&~y),True,0.000232934951782
~x-1*y+(x|y)+x-1*(~(x^y))-1*(~(x&~x))-2*(x&~y),-(x|~y),-1*(x|~y), -1*(x|~y),True,0.000186204910278
(~(x^y))+(x|~y)+2*(~(x&y))-1*x-1*(x|y)-1*(~(x&~y))-1*y+4*(~(x|~y))+1*(x&~y)+4*(x&y),1*~x+2*(~(x&~x)),3*~(x|y)+3*~(x|~y)+2*(x&~y)+2*(x&y), 3*~(x|y)+3*~(x|~y)+2*(x&~y)+2*(x&y),True,0.000247955322266
-1*(~(x&y))+(x|y)+(x^y)-1*~y-2*x-4*(~(x&~x))+7*(~(x|y))+3*(~(x|~y))+7*(x&~y)+6*(x&y),1*(x|~y),1*(x|~y), 1*(x|~y),True,0.000197172164917
-1*y+(~(x&~x))-1*x-1*(~(x^y))+(x|~y)-2*(x&~y)+2*(x&y),-(x^y)+1*(~(x&~y)),1*~(x|y)-1*(x&~y)+1*(x&y), 1*~(x|y)-1*(x&~y)+1*(x&y),True,0.000228881835938
-1*(x|y)+(~(x&~y))+2*y-2*~y-1*~x-1*(~(x&~x))+(~(x^y))+x+2*(~(x|y))-1*(~(x|~y))+3*(x&~y)-2*(x&y),-(~(x&y))+1*(x|~y),-1*~(x|~y)+1*(x&y), -1*~(x|~y)+1*(x&y),True,0.000210046768188
2*y+~y+(x^y)-1*(~(x&~x))-1*~x+(x|~y)+(~(x&y))+(x|y)-2*(~(x|y))-3*(~(x|~y))-4*(x&~y)-4*(x&y),-(~(x^y)),-1*~(x^y), -1*~(x^y),True,0.000187873840332
-1*(~(x&~x))+(x^y)-2*(~(x&~y))-1*(~(x&y))+~x+(x|y)+1*(~(x|y))+1*(~(x|~y))-3*(x&~y)-1*(x&y),-2*(x|~y)-x,-2*~(x|y)-3*(x&~y)-3*(x&y), -2*~(x|y)-3*(x&~y)-3*(x&y),True,0.000256061553955
5*~y+(~(x^y))-1*y+2*(x|y)+5*~x-11*(~(x|y))-8*(~(x|~y))-14*(x&~y)-7*(x&y),-5*x-2*(x^y),-2*~(x|~y)-7*(x&~y)-5*(x&y), -2*~(x|~y)-7*(x&~y)-5*(x&y),True,0.000261068344116
~x-5*(~(x&~x))+(~(x^y))-4*(x|y)+(x|~y)-1*(x^y)-1*(~(x&~y))-2*x+3*(~(x|y))+7*(~(x|~y))+11*(x&~y)+7*(x&y),-3*y,-3*y, -3*y,True,0.000171899795532
(~(x&~x))-2*~x-3*(~(x&y))-1*(~(x&~y))-1*~y+(x^y)-1*x-1*(x|y)+7*(~(x|y))+5*(~(x|~y))+5*(x&~y)+3*(x&y),1*(x|~y),1*(x|~y), 1*(x|~y),True,0.000180959701538
-1*(~(x&~y))+2*x+3*(~(x&~x))+2*y+~x+(~(x^y))-1*(x|y)-2*(x|~y)-2*(~(x|y))-5*(~(x|~y))-3*(x&~y)-4*(x&y),-(x^y),-1*(x^y), -1*(x^y),True,0.000182867050171
5*y+x+(x|y)+~x-1*~y+(~(x^y))+(~(x&y))-3*(~(x|y))-10*(~(x|~y))-3*(x&~y)-9*(x&y),-(~(x&~y))-(x^y),-1*~(x|y)-2*~(x|~y)-1*(x&~y)-1*(x&y), -1*~(x|y)-2*~(x|~y)-1*(x&~y)-1*(x&y),True,0.000275850296021
~y+5*(x|~y)-1*x-1*(~(x&~x))-1*(x^y)-1*(~(x&~y))-1*(~(x^y))-3*(~(x|y))+3*(~(x|~y))-4*(x&~y)-1*(x&y),1*y-(x|y),-1*(x&~y), -1*(x&~y),True,0.000189065933228
-1*(x|y)+(~(x^y))-1*~x-1*(~(x&y))-1*(~(x&~x))-1*~y+(x^y)+y+2*(x&~y)-3*(x&y),-2*(~(x&~y))-(x|~y),-3*~(x|y)-2*~(x|~y)-1*(x&~y)-3*(x&y), -3*~(x|y)-2*~(x|~y)-1*(x&~y)-3*(x&y),True,0.000280857086182
(~(x^y))+~x+y-1*(~(x&~y))+~y-1*(~(x&y))+(x^y)-1*(x|y)-1*(x|~y)+1*(~(x|y))+1*(~(x|~y))+2*(x&~y)+2*(x&y),1*(~(x&~x)),-1, -1,True,0.000123023986816
-1*(x|y)+(~(x&~y))+~y+~x+(~(x&~x))-1*(~(x^y))+x-1*(x^y)+(~(x&y))-3*(~(x|y))-2*(~(x|~y))-1*(x&~y),1*(x|~y),1*(x|~y), 1*(x|~y),True,0.000184059143066
-1*~x+(~(x&~x))+~y-1*(x|~y)+2*(x|y)-1*x-2*(~(x^y))-2*(~(x&~y))-1*(~(x&y))+5*(~(x|y))-2*(x&~y)+3*(x&y),-(x^y),-1*(x^y), -1*(x^y),True,0.000186920166016
(x|y)-1*~x-1*(~(x&~x))+(x^y)+4*(~(x|y))+2*(~(x|~y))-1*(x&y),-x+2*(~(x&y)),2*~(x|y)+2*~(x|~y)+1*(x&~y)-1*(x&y), 2*~(x|y)+2*~(x|~y)+1*(x&~y)-1*(x&y),True,0.000257015228271
-1*(~(x&y))+(x|y)-1*(x^y)-1*x+2*~x-1*(~(x&~y))-1*(~(x^y))-1*(x|~y)+3*(~(x|y))+1*(~(x|~y))+4*(x&~y)+4*(x&y),1*y+1*~y,-1, -1,True,0.000123023986816
-1*y+~y+(x|y)+2*(~(x&~y))-3*(x|~y)+(~(x&y))-2*~x-1*(~(x|~y))+1*(x&~y)+1*(x&y),-(~(x^y))+1*x,-1*~(x|y)+1*(x&~y), -1*~(x|y)+1*(x&~y),True,0.000211000442505
(~(x&y))+y+2*(~(x&~x))+x-1*(~(x&~y))+2*(~(x^y))-4*(~(x|y))-4*(~(x|~y))-5*(x&~y)-5*(x&y),-(x^y),-1*(x^y), -1*(x^y),True,0.000200986862183
(~(x&~y))+5*(~(x^y))-1*~x+3*(x|y)-1*x+(~(x&y))+(x^y)+~y-5*(~(x|y))-3*(~(x|~y))-3*(x&~y)-6*(x&y),2*(~(x&~x)),-2, -2,True,0.000119924545288
-3*(~(x&~y))+(~(x^y))+(~(x&~x))-1*y+1*(~(x|y))+4*(~(x|~y))-2*(x&~y)+1*(x&y),1*~x-(x|~y),1*~(x|~y)-1*(x&~y)-1*(x&y), 1*~(x|~y)-1*(x&~y)-1*(x&y),True,0.000236988067627
-1*y+(~(x^y))-1*x-4*(~(x|y))-2*(x&~y)-1*(x&y),-(~(x&y))-2*(x|~y),-3*~(x|y)-1*~(x|~y)-3*(x&~y)-2*(x&y), -3*~(x|y)-1*~(x|~y)-3*(x&~y)-2*(x&y),True,0.000275135040283
y+(x|~y)-1*(~(x&~x))-1*(~(x^y))-4*x-1*(x|y)-1*(~(x&~y))-1*(~(x&y))+4*(~(x|y))+4*(~(x|~y))+8*(x&~y)+6*(x&y),1*~y+1*(x^y),1*~(x|y)+1*~(x|~y)+2*(x&~y), 1*~(x|y)+1*~(x|~y)+2*(x&~y),True,0.000236988067627
(~(x&~x))-1*y+(x|y)-3*~x+2*(~(x^y))+~y-1*(~(x&y))+2*(~(x|y))+4*(~(x|~y))-1*(x&~y)-1*(x&y),1*(x|~y)+1*(~(x&~y)),2*~(x|y)+1*~(x|~y)+1*(x&~y)+2*(x&y), 2*~(x|y)+1*~(x|~y)+1*(x&~y)+2*(x&y),True,0.000246047973633
-3*(~(x^y))+~y-1*(x|~y)+~x-1*(x|y)+(x^y)+(~(x&~y))-1*(~(x&~x))+5*(~(x|y))+2*(~(x|~y))+4*(x&~y)+5*(x&y),3*(~(x&y)),3*~(x&y), 3*~(x&y),True,0.000180006027222
(x|~y)+~x+x+(~(x&~y))-1*(x|y)+4*~y+(~(x^y))+(~(x&y))-1*y-8*(~(x|y))-5*(x&~y)-1*(x&y),1*(~(x&~x)),-1, -1,True,0.000121116638184
(~(x&y))-1*(x|y)-1*(~(x&~y))-2*(~(x&~x))-1*x+3*(~(x|y))+2*(~(x|~y))+3*(x&~y)+5*(x&y),1*(~(x^y))-y,1*~(x|y)-1*~(x|~y), 1*~(x|y)-1*~(x|~y),True,0.00020694732666
-1*(x^y)+(x|~y)+(~(x&y))+~x+x+(~(x^y))-2*(~(x&~x))+~y-2*(~(x|y))+4*(~(x|~y))+1*(x&~y)+2*(x&y),1*(~(x&~y))+2*(x|y),1*~(x|y)+3*~(x|~y)+2*(x&~y)+3*(x&y), 1*~(x|y)+3*~(x|~y)+2*(x&~y)+3*(x&y),True,0.000243902206421
(x|~y)+2*y+4*x+(~(x&~y))+(~(x^y))+2*(~(x&~x))-5*(~(x|y))-6*(~(x|~y))-8*(x&~y)-12*(x&y),-(x|y),-1*(x|y), -1*(x|y),True,0.000183820724487
~y-1*(x|y)+(~(x&~y))-1*(~(x&~x))+(x^y)-1*y-2*(~(x|y))+1*(~(x|~y))-1*(x&~y)+1*(x&y),-(x|~y),-1*(x|~y), -1*(x|~y),True,0.000185966491699
-1*(x|y)+(~(x^y))-1*~x-1*(~(x&y))-1*(~(x&~x))-1*~y+(x^y)+y+2*(x&~y)-3*(x&y),-2*(~(x&~y))-(x|~y),-3*~(x|y)-2*~(x|~y)-1*(x&~y)-3*(x&y), -3*~(x|y)-2*~(x|~y)-1*(x&~y)-3*(x&y),True,0.000281095504761
-1*(~(x&~x))+(~(x&~y))-1*(x^y)-1*y-1*~x+x+2*~y-1*(x|y)+4*(~(x|~y))+1*(x&~y)+2*(x&y),1*(x|~y),1*(x|~y), 1*(x|~y),True,0.00018310546875
(~(x^y))+~x-1*~y+(~(x&~y))-1*(x|y)+(~(x&~x))+2*y-2*(~(x|y))-4*(~(x|~y))+2*(x&~y)-3*(x&y),1*(x|~y),1*(x|~y), 1*(x|~y),True,0.000180006027222
(x^y)-2*~x-5*y+(~(x^y))-1*(~(x&y))+2*~y+2*(x|y)-1*x-1*(~(x|y))+4*(~(x|~y))-4*(x&~y)+2*(x&y),-(~(x&~x)),1, 1,True,0.000118970870972
-1*x+(~(x&y))+(~(x&~x))-2*(x|~y)-1*(~(x^y))+~x-1*(x|y)-1*y-2*~y+1*(~(x|y))-2*(~(x|~y))+4*(x&~y)+4*(x&y),-(~(x&~y)),-1*~(x&~y), -1*~(x&~y),True,0.000186920166016
